,戏曲,战争,Game-Show,惊悚,爱情,运动,悬疑,冒险,Reality-TV,真人秀,记录,西部,剧情,荒诞,动画,歌舞,紀錄片 Documentary,古装,脱口秀,同性,动作,武侠,Talk-Show,奇幻,黑色电影,News,短片,喜剧,鬼怪,科幻,历史,情色,儿童,恐怖,舞台艺术,纪录片,家庭,灾难,犯罪,音乐,传记
174612634,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0
60126543,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75790946,0.0,0.020833333333333332,0.0,0.10416666666666667,0.10416666666666667,0.020833333333333332,0.125,0.10416666666666667,0.0,0.020833333333333332,0.0,0.0,0.6041666666666666,0.0,0.1875,0.020833333333333332,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.22916666666666666,0.0,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.0,0.0625,0.0,0.08333333333333333,0.0,0.020833333333333332,0.20833333333333334,0.0,0.020833333333333332
taxuezhuifeng23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
144246810,0.0,0.11475409836065574,0.0,0.06557377049180328,0.4918032786885246,0.0,0.03278688524590164,0.11475409836065574,0.0,0.0,0.0,0.0,0.8032786885245902,0.0,0.16393442622950818,0.03278688524590164,0.0,0.04918032786885246,0.0,0.03278688524590164,0.06557377049180328,0.01639344262295082,0.0,0.14754098360655737,0.0,0.0,0.0,0.21311475409836064,0.0,0.01639344262295082,0.08196721311475409,0.0,0.03278688524590164,0.01639344262295082,0.0,0.0,0.14754098360655737,0.0,0.11475409836065574,0.04918032786885246,0.08196721311475409
171364405,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29334209,0.0,0.013888888888888888,0.0,0.16666666666666666,0.19444444444444445,0.013888888888888888,0.125,0.18055555555555555,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.1111111111111111,0.041666666666666664,0.0,0.027777777777777776,0.0,0.013888888888888888,0.1527777777777778,0.013888888888888888,0.0,0.1388888888888889,0.0,0.0,0.027777777777777776,0.3472222222222222,0.0,0.1111111111111111,0.013888888888888888,0.0,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.16666666666666666,0.013888888888888888,0.1111111111111111,0.013888888888888888,0.05555555555555555
36599073,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0
62073821,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170984087,0.0,0.16,0.0,0.08,0.44,0.0,0.2,0.12,0.0,0.0,0.0,0.04,0.8,0.0,0.04,0.0,0.0,0.04,0.0,0.04,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.24,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.2,0.0,0.0
129340723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131786556,0.0,0.0,0.0,0.041666666666666664,0.4166666666666667,0.0,0.20833333333333334,0.125,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.25,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.041666666666666664,0.0
43006571,0.0,0.09803921568627451,0.0,0.06862745098039216,0.17647058823529413,0.00980392156862745,0.058823529411764705,0.2549019607843137,0.0,0.0,0.0,0.0196078431372549,0.6666666666666666,0.0,0.20588235294117646,0.0,0.0,0.058823529411764705,0.0,0.0,0.1568627450980392,0.0,0.0,0.11764705882352941,0.0,0.0,0.0196078431372549,0.21568627450980393,0.0,0.1568627450980392,0.0784313725490196,0.0196078431372549,0.0196078431372549,0.0,0.0,0.049019607843137254,0.029411764705882353,0.00980392156862745,0.08823529411764706,0.0196078431372549,0.06862745098039216
45305423,0.0,0.0379746835443038,0.0,0.0379746835443038,0.2911392405063291,0.0,0.16455696202531644,0.0379746835443038,0.0,0.0,0.0,0.012658227848101266,0.7468354430379747,0.0,0.05063291139240506,0.02531645569620253,0.0,0.05063291139240506,0.0,0.06329113924050633,0.12658227848101267,0.02531645569620253,0.0,0.0759493670886076,0.0,0.0,0.0,0.2911392405063291,0.0,0.0,0.0379746835443038,0.0,0.012658227848101266,0.0,0.0,0.0,0.05063291139240506,0.0,0.24050632911392406,0.0379746835443038,0.012658227848101266
